simulacion_id,num_puertas,premio,eleccion_inicial,puerta_abierta,nueva_eleccion,estrategia,resultado
642,3,1,1,2,0,Cambiar,0
643,3,0,0,2,1,Cambiar,0
644,3,1,1,0,2,Cambiar,0
645,3,1,2,0,1,Cambiar,1
646,3,2,0,1,2,Cambiar,1
647,3,0,2,1,0,Cambiar,1
648,3,0,0,2,1,Cambiar,0
649,3,2,1,0,2,Cambiar,1
650,3,0,2,1,0,Cambiar,1
651,3,1,0,2,1,Cambiar,1
652,3,1,0,2,1,Cambiar,1
653,3,2,2,1,0,Cambiar,0
654,3,1,0,2,1,Cambiar,1
655,3,2,2,0,1,Cambiar,0
656,3,1,1,0,2,Cambiar,0
657,3,0,2,1,0,Cambiar,1
658,3,2,1,0,2,Cambiar,1
659,3,0,1,2,0,Cambiar,1
660,3,0,0,2,1,Cambiar,0
661,3,0,1,2,0,Cambiar,1
662,3,2,2,1,0,Cambiar,0
663,3,2,0,1,2,Cambiar,1
664,3,0,1,2,0,Cambiar,1
665,3,0,1,2,0,Cambiar,1
666,3,1,0,2,1,Cambiar,1
667,3,2,1,0,2,Cambiar,1
668,3,0,1,2,0,Cambiar,1
669,3,0,1,2,0,Cambiar,1
670,3,1,1,2,0,Cambiar,0
671,3,2,0,1,2,Cambiar,1
672,3,2,1,0,2,Cambiar,1
673,3,2,1,0,2,Cambiar,1
674,3,1,2,0,1,Cambiar,1
675,3,0,1,2,0,Cambiar,1
676,3,1,2,0,1,Cambiar,1
677,3,2,0,1,2,Cambiar,1
678,3,0,0,2,1,Cambiar,0
679,3,2,1,0,2,Cambiar,1
680,3,0,0,2,1,Cambiar,0
681,3,0,2,1,0,Cambiar,1
682,3,1,0,2,1,Cambiar,1
683,3,2,0,1,2,Cambiar,1
